"Tree","MDI_1","p_1","MDI_2","p_2","MDI_3","p_3","MDI_4","p_4","MDI_5","p_5","MDI_6","p_6","MDI_7","p_7","MDI_8","p_8","MDI_9","p_9","MDI_10","p_10","MDI_11","p_11","MDI_12","p_12","MDI_13","p_13","MDI_14","p_14","MDI_15","p_15","MDI_16","p_16","MDI_17","p_17","MDI_18","p_18","MDI_19","p_19"
295,-0.067,0.315,0.182,0.871,0.405,0.997,0.237,0.93,0.177,0.856,-0.054,0.341,0.177,0.859,0.083,0.654,-0.089,0.276,0.072,0.646,-0.087,0.269,-0.128,0.159,-0.038,0.379,-0.116,0.178,0.446,0.999,-0.068,0.316,-0.124,0.193,-0.051,0.351,-0.108,0.211
296,-0.027,0.419,0.159,0.854,0.347,0.995,0.257,0.963,0.167,0.872,-0.005,0.446,0.199,0.921,0.082,0.677,-0.021,0.415,0.083,0.696,-0.033,0.383,-0.108,0.218,-0.042,0.369,-0.057,0.33,0.378,0.999,-0.043,0.367,-0.065,0.325,-0.034,0.401,-0.055,0.335
297,0.008,0.5,0.23,0.879,0.542,0.998,0.359,0.976,0.176,0.814,0.052,0.595,0.279,0.925,0.112,0.726,0.001,0.484,0.113,0.703,0,0.482,-0.078,0.298,0.039,0.559,-0.039,0.397,0.557,0.999,0.014,0.521,-0.049,0.378,0.026,0.544,-0.041,0.389
298,-0.035,0.344,0.164,0.875,0.395,0.999,0.228,0.965,0.117,0.803,-0.003,0.461,0.172,0.904,0.056,0.643,-0.039,0.335,0.06,0.652,-0.032,0.364,-0.122,0.134,-0.05,0.307,-0.095,0.2,0.378,0.999,-0.064,0.252,-0.094,0.202,-0.058,0.286,-0.086,0.206
299,-0.08,0.267,0.155,0.817,0.331,0.989,0.249,0.935,0.12,0.758,-0.044,0.356,0.174,0.867,0.035,0.567,-0.077,0.284,0.034,0.551,-0.091,0.247,-0.141,0.18,-0.062,0.302,-0.107,0.217,0.392,0.994,-0.074,0.288,-0.111,0.202,-0.064,0.293,-0.1,0.227
300,0.048,0.587,0.21,0.852,0.562,1,0.319,0.948,0.256,0.905,0.058,0.606,0.253,0.876,0.187,0.792,0.05,0.588,0.194,0.816,0.03,0.545,-0.014,0.458,0.11,0.704,-0.002,0.484,0.64,0.999,0.092,0.663,-0.002,0.48,0.099,0.682,0.01,0.509
301,-0.109,0.144,0.103,0.777,0.282,0.99,0.203,0.961,0.078,0.708,-0.065,0.262,0.142,0.861,-0.005,0.446,-0.096,0.177,0.002,0.452,-0.102,0.178,-0.173,0.049,-0.115,0.146,-0.145,0.086,0.296,0.992,-0.121,0.127,-0.152,0.083,-0.119,0.144,-0.137,0.109
302,0.018,0.534,0.194,0.906,0.524,1,0.327,0.987,0.185,0.911,0.051,0.629,0.258,0.975,0.121,0.806,0.029,0.549,0.129,0.798,0.012,0.503,-0.074,0.265,0,0.467,-0.009,0.441,0.491,0.999,-0.011,0.438,-0.019,0.404,-0.01,0.444,-0.012,0.433
303,0.002,0.486,0.196,0.908,0.433,0.999,0.303,0.984,0.195,0.873,0.024,0.544,0.243,0.93,0.101,0.734,0.018,0.519,0.106,0.734,0.001,0.478,-0.057,0.332,0.023,0.542,-0.011,0.446,0.471,1,-0.003,0.45,-0.021,0.432,0.022,0.53,-0.025,0.42
304,0.067,0.629,0.277,0.931,0.603,1,0.42,0.984,0.292,0.939,0.089,0.673,0.311,0.956,0.206,0.85,0.062,0.618,0.218,0.874,0.043,0.565,-0.007,0.471,0.092,0.69,0.013,0.517,0.64,1,0.088,0.673,0.005,0.502,0.086,0.663,0.014,0.524
305,0.005,0.499,0.22,0.898,0.47,0.999,0.318,0.981,0.241,0.929,0.021,0.534,0.266,0.963,0.152,0.798,-0.006,0.472,0.15,0.814,-0.022,0.43,-0.077,0.303,0.03,0.546,-0.058,0.336,0.531,1,0.004,0.483,-0.067,0.317,0.021,0.527,-0.057,0.35
306,-0.002,0.462,0.165,0.869,0.443,1,0.308,0.992,0.135,0.82,0.063,0.662,0.24,0.952,0.078,0.687,0.014,0.524,0.082,0.714,0.012,0.507,-0.079,0.271,0.002,0.471,-0.024,0.388,0.427,0.999,-0.007,0.453,-0.033,0.371,-0.008,0.438,-0.022,0.411
307,-0.086,0.265,0.16,0.819,0.382,0.995,0.294,0.971,0.079,0.679,-0.01,0.45,0.21,0.908,0.017,0.516,-0.058,0.331,0.024,0.538,-0.069,0.308,-0.15,0.143,-0.069,0.307,-0.104,0.214,0.396,0.997,-0.083,0.265,-0.11,0.211,-0.081,0.271,-0.11,0.213
308,-0.053,0.34,0.177,0.875,0.422,0.998,0.307,0.992,0.143,0.827,-0.017,0.415,0.24,0.949,0.079,0.689,-0.056,0.317,0.081,0.675,-0.058,0.303,-0.132,0.154,-0.065,0.305,-0.088,0.228,0.433,1,-0.091,0.247,-0.092,0.221,-0.07,0.286,-0.089,0.22
309,-0.041,0.351,0.139,0.815,0.437,0.996,0.331,0.98,0.107,0.74,0.046,0.581,0.233,0.943,0.052,0.618,-0.008,0.455,0.053,0.602,-0.011,0.431,-0.107,0.197,-0.023,0.409,-0.073,0.273,0.455,1,-0.041,0.363,-0.062,0.319,-0.049,0.333,-0.065,0.292
310,-0.066,0.314,0.162,0.842,0.314,0.983,0.231,0.93,0.137,0.797,-0.02,0.426,0.187,0.881,0.045,0.605,-0.063,0.32,0.052,0.595,-0.049,0.344,-0.088,0.248,-0.029,0.41,-0.083,0.282,0.368,0.997,-0.049,0.34,-0.074,0.296,-0.031,0.399,-0.075,0.28
311,0.018,0.505,0.173,0.858,0.552,1,0.315,0.98,0.221,0.9,0.045,0.581,0.229,0.903,0.153,0.796,0.024,0.528,0.151,0.802,0.011,0.504,-0.059,0.342,0.059,0.618,-0.025,0.426,0.559,1,0.028,0.542,-0.045,0.374,0.01,0.502,-0.02,0.416
312,0.089,0.687,0.267,0.946,0.543,1,0.359,0.985,0.289,0.971,0.1,0.707,0.291,0.953,0.213,0.88,0.061,0.628,0.221,0.88,0.059,0.616,-0.026,0.433,0.08,0.664,0.013,0.522,0.574,1,0.047,0.604,0.01,0.513,0.068,0.633,0.008,0.503
313,0.047,0.585,0.271,0.942,0.461,0.996,0.363,0.984,0.256,0.923,0.076,0.652,0.314,0.962,0.168,0.838,0.025,0.548,0.162,0.806,0.029,0.559,-0.047,0.366,0.04,0.579,-0.002,0.474,0.515,1,0.007,0.494,-0.017,0.447,0.052,0.604,-0.017,0.454
314,-0.064,0.309,0.144,0.769,0.335,0.984,0.231,0.915,0.119,0.731,-0.014,0.436,0.174,0.832,0.032,0.556,-0.062,0.32,0.039,0.573,-0.075,0.296,-0.153,0.153,-0.065,0.319,-0.125,0.172,0.372,0.99,-0.096,0.263,-0.142,0.163,-0.058,0.347,-0.128,0.206
315,0.052,0.611,0.201,0.912,0.557,1,0.372,0.993,0.248,0.944,0.086,0.696,0.268,0.958,0.184,0.876,0.053,0.607,0.173,0.885,0.061,0.649,-0.034,0.38,0.068,0.661,-0.002,0.451,0.59,1,0.05,0.603,-0.004,0.456,0.061,0.641,0,0.465
316,0.029,0.555,0.224,0.93,0.631,1,0.388,0.996,0.236,0.935,0.075,0.671,0.293,0.977,0.166,0.848,0.039,0.569,0.167,0.856,0.032,0.555,-0.049,0.364,0.056,0.628,0.017,0.522,0.598,1,0.029,0.544,-0.01,0.449,0.041,0.573,0.002,0.482
317,-0.001,0.47,0.161,0.826,0.542,0.999,0.325,0.971,0.187,0.882,0.022,0.525,0.248,0.941,0.117,0.742,0.003,0.49,0.112,0.772,-0.018,0.426,-0.084,0.265,0.036,0.554,-0.04,0.367,0.553,1,0.005,0.489,-0.05,0.348,0.018,0.519,-0.047,0.363
318,-0.012,0.441,0.215,0.925,0.729,1,0.442,1,0.169,0.858,0.043,0.584,0.312,0.983,0.125,0.786,-0.001,0.479,0.126,0.779,0.005,0.479,-0.09,0.211,0.007,0.486,-0.024,0.399,0.606,1,-0.018,0.403,-0.037,0.375,-0.005,0.451,-0.034,0.362
319,-0.029,0.375,0.102,0.724,0.35,0.995,0.272,0.97,0.083,0.683,0.035,0.569,0.191,0.886,0.024,0.55,-0.018,0.425,0.029,0.548,-0.01,0.444,-0.115,0.184,-0.046,0.34,-0.085,0.245,0.379,0.996,-0.062,0.306,-0.083,0.241,-0.066,0.298,-0.067,0.275
320,0.044,0.578,0.208,0.858,0.685,1,0.378,0.98,0.233,0.882,0.068,0.636,0.263,0.922,0.166,0.821,0.041,0.566,0.179,0.826,0.041,0.568,-0.053,0.339,0.072,0.639,-0.009,0.449,0.648,1,0.039,0.554,-0.007,0.449,0.056,0.588,-0.007,0.46
321,-0.003,0.471,0.198,0.918,0.504,1,0.338,0.985,0.146,0.828,0.047,0.604,0.256,0.956,0.09,0.696,0.025,0.535,0.092,0.698,0.013,0.501,-0.061,0.32,0.011,0.509,-0.001,0.464,0.472,1,-0.014,0.428,-0.02,0.415,0.01,0.508,-0.019,0.413
322,-0.021,0.407,0.15,0.846,0.492,1,0.366,0.998,0.154,0.843,0.035,0.576,0.259,0.958,0.088,0.708,-0.01,0.44,0.087,0.709,-0.017,0.438,-0.105,0.18,-0.023,0.408,-0.048,0.336,0.484,0.998,-0.047,0.334,-0.064,0.277,-0.045,0.356,-0.048,0.333
323,0.011,0.498,0.235,0.937,0.451,1,0.305,0.987,0.193,0.897,0.063,0.643,0.252,0.947,0.125,0.784,0.02,0.523,0.119,0.767,0.016,0.525,-0.058,0.326,0.029,0.548,-0.026,0.415,0.49,0.999,0.016,0.525,-0.036,0.383,0.013,0.499,-0.018,0.429
324,0.039,0.56,0.236,0.909,0.476,0.999,0.319,0.976,0.227,0.905,0.067,0.636,0.257,0.953,0.145,0.792,0.031,0.556,0.155,0.813,0.029,0.537,-0.026,0.421,0.049,0.585,0.004,0.49,0.525,1,0.052,0.604,-0.007,0.463,0.034,0.562,-0.007,0.458
325,0.005,0.479,0.194,0.862,0.426,0.996,0.288,0.961,0.183,0.853,0.029,0.546,0.237,0.912,0.113,0.738,0.002,0.494,0.106,0.73,0.003,0.484,-0.058,0.353,0.026,0.535,-0.031,0.413,0.461,0.997,0.013,0.501,-0.038,0.385,0.025,0.529,-0.027,0.404
326,-0.103,0.208,0.135,0.8,0.338,0.991,0.226,0.935,0.084,0.695,-0.059,0.297,0.163,0.872,0.014,0.522,-0.095,0.235,0.005,0.468,-0.104,0.198,-0.151,0.114,-0.075,0.279,-0.131,0.156,0.385,0.996,-0.083,0.256,-0.123,0.183,-0.076,0.262,-0.115,0.181
327,0.068,0.64,0.243,0.94,0.571,1,0.382,0.995,0.262,0.958,0.097,0.702,0.292,0.978,0.192,0.9,0.084,0.681,0.193,0.909,0.068,0.644,0.007,0.501,0.09,0.719,0.025,0.528,0.562,1,0.069,0.639,0.029,0.559,0.086,0.686,0.023,0.531
328,0.048,0.579,0.243,0.907,0.542,1,0.35,0.984,0.236,0.917,0.091,0.697,0.29,0.957,0.168,0.822,0.053,0.614,0.168,0.835,0.052,0.607,-0.017,0.443,0.071,0.662,0.021,0.53,0.557,1,0.038,0.591,0.014,0.513,0.062,0.633,0.021,0.542
329,-0.032,0.402,0.184,0.869,0.455,0.999,0.311,0.97,0.165,0.825,0.027,0.549,0.24,0.925,0.091,0.699,-0.018,0.436,0.102,0.706,-0.027,0.404,-0.099,0.214,-0.009,0.45,-0.083,0.271,0.492,1,-0.027,0.383,-0.087,0.249,-0.032,0.375,-0.068,0.306
330,0.012,0.508,0.18,0.889,0.442,0.997,0.375,0.993,0.14,0.836,0.089,0.7,0.279,0.972,0.088,0.72,0.046,0.597,0.091,0.715,0.033,0.564,-0.053,0.324,0.008,0.488,-0.001,0.472,0.464,1,0.002,0.48,-0.009,0.439,0.008,0.491,-0.014,0.427
331,-0.007,0.451,0.161,0.844,0.485,0.998,0.308,0.981,0.215,0.921,0.022,0.534,0.212,0.924,0.13,0.797,-0.024,0.41,0.123,0.782,-0.032,0.396,-0.094,0.244,0.017,0.522,-0.066,0.299,0.511,1,-0.02,0.41,-0.076,0.276,-0.001,0.46,-0.058,0.302
332,-0.014,0.423,0.19,0.912,0.482,1,0.325,0.995,0.169,0.882,0.033,0.56,0.245,0.971,0.092,0.721,0.003,0.473,0.095,0.746,-0.002,0.45,-0.07,0.249,0.005,0.476,-0.025,0.389,0.504,1,-0.005,0.429,-0.035,0.341,-0.012,0.427,-0.015,0.415
333,-0.047,0.342,0.15,0.809,0.406,0.999,0.278,0.967,0.156,0.823,-0.015,0.42,0.213,0.917,0.069,0.639,-0.049,0.352,0.07,0.652,-0.05,0.338,-0.108,0.18,-0.022,0.427,-0.083,0.256,0.457,1,-0.035,0.374,-0.083,0.255,-0.028,0.402,-0.087,0.237
334,0.011,0.496,0.191,0.888,0.52,0.999,0.305,0.978,0.154,0.833,0.049,0.59,0.244,0.929,0.091,0.696,0.022,0.527,0.101,0.713,0.01,0.5,-0.059,0.33,0.047,0.593,-0.012,0.435,0.516,1,0.027,0.539,-0.028,0.415,0.013,0.514,-0.01,0.446
335,-0.034,0.387,0.144,0.802,0.303,0.97,0.257,0.953,0.153,0.807,-0.001,0.48,0.212,0.904,0.073,0.645,-0.032,0.391,0.069,0.652,-0.047,0.357,-0.093,0.244,-0.024,0.415,-0.078,0.267,0.397,0.997,-0.029,0.395,-0.088,0.261,-0.033,0.39,-0.064,0.311
336,0.038,0.573,0.244,0.922,0.563,1,0.361,0.989,0.261,0.924,0.064,0.639,0.294,0.954,0.165,0.821,0.037,0.573,0.161,0.82,0.026,0.546,-0.042,0.386,0.058,0.614,-0.01,0.445,0.579,1,0.016,0.521,-0.03,0.412,0.052,0.612,-0.017,0.455
337,0.036,0.579,0.173,0.881,0.378,0.987,0.307,0.988,0.157,0.864,0.097,0.744,0.243,0.945,0.095,0.749,0.056,0.625,0.107,0.759,0.046,0.618,-0.055,0.335,0.014,0.523,-0.008,0.46,0.381,0.997,-0.01,0.455,-0.015,0.441,-0.001,0.477,-0.006,0.46
338,-0.078,0.275,0.146,0.793,0.393,0.996,0.261,0.949,0.092,0.704,-0.026,0.402,0.192,0.895,0.019,0.524,-0.064,0.31,0.031,0.544,-0.067,0.315,-0.131,0.158,-0.039,0.35,-0.099,0.209,0.428,0.995,-0.058,0.314,-0.096,0.218,-0.053,0.332,-0.088,0.256
339,-0.004,0.455,0.205,0.901,0.581,1,0.383,0.997,0.167,0.852,0.068,0.643,0.289,0.969,0.113,0.733,0.015,0.518,0.117,0.748,0.014,0.513,-0.062,0.297,0.034,0.565,-0.016,0.428,0.556,1,0.004,0.485,-0.028,0.404,0.016,0.507,-0.03,0.385
340,-0.027,0.386,0.209,0.941,0.398,0.999,0.298,0.981,0.166,0.887,0.015,0.524,0.231,0.951,0.08,0.707,-0.028,0.384,0.089,0.724,-0.038,0.346,-0.092,0.208,-0.023,0.404,-0.052,0.317,0.419,0.999,-0.033,0.377,-0.058,0.293,-0.027,0.389,-0.042,0.34
341,-0.091,0.207,0.143,0.827,0.36,0.997,0.269,0.978,0.128,0.794,-0.045,0.337,0.209,0.928,0.034,0.56,-0.082,0.235,0.04,0.575,-0.086,0.225,-0.18,0.048,-0.104,0.17,-0.123,0.144,0.372,0.998,-0.128,0.14,-0.138,0.13,-0.115,0.154,-0.125,0.119
342,0.006,0.494,0.207,0.87,0.462,0.999,0.338,0.977,0.139,0.791,0.069,0.659,0.26,0.93,0.078,0.653,0.027,0.546,0.074,0.659,0.024,0.534,-0.06,0.33,0.015,0.516,-0.01,0.456,0.459,0.998,0.009,0.5,-0.022,0.415,0.009,0.497,-0.013,0.452
343,0.01,0.508,0.195,0.927,0.361,0.996,0.268,0.968,0.192,0.932,0.03,0.558,0.216,0.954,0.113,0.778,0.015,0.521,0.119,0.798,0.005,0.482,-0.078,0.251,-0.003,0.472,-0.044,0.334,0.404,1,-0.03,0.379,-0.048,0.318,-0.025,0.387,-0.042,0.327
344,-0.014,0.458,0.213,0.863,0.382,0.973,0.297,0.937,0.166,0.779,0.051,0.57,0.261,0.897,0.093,0.674,-0.011,0.465,0.096,0.681,-0.026,0.432,-0.103,0.259,-0.011,0.444,-0.078,0.316,0.451,0.995,-0.02,0.438,-0.083,0.305,-0.003,0.471,-0.076,0.315
345,0.085,0.693,0.204,0.919,0.556,1,0.382,0.998,0.257,0.958,0.096,0.714,0.273,0.959,0.219,0.927,0.072,0.65,0.224,0.929,0.071,0.654,-0.033,0.396,0.066,0.638,0.017,0.527,0.579,1,0.04,0.582,0.009,0.508,0.059,0.638,0.012,0.509
346,-0.052,0.333,0.146,0.814,0.414,0.994,0.267,0.955,0.109,0.722,0.011,0.503,0.194,0.883,0.025,0.531,-0.039,0.352,0.05,0.595,-0.052,0.346,-0.14,0.152,-0.045,0.366,-0.096,0.246,0.453,1,-0.06,0.311,-0.095,0.246,-0.045,0.359,-0.085,0.266
347,-0.036,0.394,0.156,0.853,0.473,1,0.327,0.98,0.124,0.781,0.016,0.529,0.23,0.924,0.063,0.631,-0.02,0.428,0.077,0.66,-0.031,0.392,-0.081,0.271,0.005,0.486,-0.042,0.369,0.488,1,-0.013,0.435,-0.044,0.361,-0.013,0.44,-0.043,0.366
348,0.02,0.527,0.212,0.91,0.567,1,0.302,0.976,0.217,0.913,0.024,0.544,0.264,0.94,0.148,0.81,0.005,0.486,0.149,0.811,-0.009,0.457,-0.067,0.312,0.044,0.587,-0.042,0.375,0.57,1,0.018,0.512,-0.055,0.329,0.023,0.531,-0.043,0.376
349,0.019,0.521,0.181,0.869,0.536,0.999,0.379,0.992,0.223,0.92,0.047,0.596,0.271,0.957,0.146,0.814,0.036,0.564,0.159,0.852,0.02,0.529,-0.052,0.337,0.023,0.527,-0.014,0.448,0.53,0.999,0.008,0.502,-0.011,0.442,0.014,0.511,-0.002,0.466
350,-0.018,0.413,0.131,0.808,0.339,0.991,0.271,0.971,0.121,0.789,0.008,0.477,0.192,0.916,0.057,0.626,-0.017,0.41,0.057,0.619,-0.022,0.398,-0.108,0.173,-0.038,0.343,-0.061,0.288,0.378,0.996,-0.058,0.301,-0.073,0.273,-0.047,0.334,-0.065,0.282
351,-0.044,0.353,0.158,0.825,0.406,0.996,0.25,0.952,0.117,0.751,-0.001,0.473,0.192,0.875,0.046,0.599,-0.04,0.364,0.037,0.569,-0.047,0.341,-0.105,0.214,-0.015,0.436,-0.09,0.256,0.442,0.998,-0.034,0.387,-0.085,0.273,-0.033,0.391,-0.084,0.256
352,-0.046,0.36,0.143,0.789,0.398,0.996,0.257,0.946,0.128,0.765,-0.008,0.452,0.178,0.861,0.071,0.638,-0.041,0.381,0.066,0.642,-0.05,0.36,-0.117,0.189,-0.038,0.375,-0.078,0.297,0.432,0.998,-0.05,0.345,-0.081,0.267,-0.044,0.353,-0.062,0.307
353,0.095,0.711,0.24,0.94,0.509,1,0.365,0.995,0.25,0.95,0.099,0.723,0.276,0.96,0.184,0.861,0.091,0.711,0.186,0.891,0.083,0.681,0.047,0.583,0.126,0.785,0.08,0.676,0.566,1,0.104,0.731,0.089,0.683,0.12,0.763,0.08,0.684
354,-0.048,0.341,0.086,0.713,0.372,0.999,0.184,0.897,0.041,0.575,-0.002,0.461,0.098,0.739,0,0.472,-0.035,0.374,0.007,0.484,-0.046,0.341,-0.119,0.186,-0.058,0.322,-0.093,0.213,0.357,0.995,-0.062,0.308,-0.092,0.233,-0.072,0.271,-0.067,0.283
355,-0.004,0.467,0.241,0.946,0.656,1,0.348,0.989,0.238,0.926,0.027,0.545,0.274,0.974,0.137,0.81,-0.007,0.451,0.146,0.81,-0.029,0.39,-0.072,0.282,0.037,0.565,-0.03,0.382,0.607,1,0.018,0.523,-0.051,0.353,0.041,0.584,-0.043,0.36
356,0.003,0.476,0.208,0.931,0.453,1,0.306,0.984,0.221,0.932,0.018,0.529,0.231,0.929,0.127,0.794,-0.012,0.444,0.131,0.797,-0.013,0.431,-0.08,0.276,0.01,0.515,-0.057,0.314,0.473,1,-0.001,0.473,-0.063,0.302,-0.01,0.448,-0.046,0.353
357,-0.053,0.34,0.205,0.872,0.462,0.998,0.318,0.981,0.197,0.877,-0.005,0.471,0.249,0.941,0.095,0.684,-0.059,0.34,0.101,0.694,-0.061,0.338,-0.132,0.171,-0.033,0.387,-0.092,0.285,0.479,0.999,-0.051,0.349,-0.098,0.253,-0.042,0.368,-0.097,0.245
358,0.03,0.569,0.187,0.9,0.477,1,0.318,0.992,0.229,0.961,0.03,0.556,0.22,0.946,0.147,0.855,0.02,0.529,0.15,0.84,0.016,0.512,-0.062,0.302,0.016,0.52,-0.002,0.471,0.46,1,-0.006,0.473,-0.018,0.432,0.015,0.516,-0.012,0.441
359,0.063,0.629,0.204,0.909,0.533,1,0.32,0.993,0.224,0.954,0.073,0.656,0.231,0.946,0.169,0.866,0.063,0.616,0.171,0.874,0.05,0.603,0.006,0.501,0.086,0.686,0.038,0.564,0.531,1,0.065,0.633,0.024,0.525,0.061,0.627,0.047,0.594
360,-0.003,0.472,0.196,0.888,0.631,1,0.369,0.997,0.193,0.904,0.026,0.535,0.254,0.948,0.128,0.779,0.008,0.485,0.13,0.788,-0.012,0.436,-0.08,0.265,0.005,0.486,-0.006,0.44,0.543,1,-0.021,0.414,-0.02,0.416,0,0.46,-0.021,0.429
361,0.022,0.534,0.153,0.859,0.528,1,0.332,0.991,0.157,0.852,0.054,0.65,0.226,0.95,0.111,0.79,0.037,0.585,0.124,0.822,0.021,0.541,-0.026,0.394,0.068,0.664,0.006,0.497,0.542,1,0.043,0.604,0.003,0.489,0.035,0.576,0.018,0.52
362,0.002,0.489,0.175,0.875,0.401,0.995,0.285,0.968,0.159,0.852,0.034,0.579,0.204,0.911,0.084,0.701,0.007,0.486,0.084,0.69,-0.015,0.432,-0.049,0.348,0.011,0.51,-0.013,0.46,0.412,0.998,-0.007,0.459,-0.015,0.442,0.012,0.501,-0.021,0.409
363,-0.074,0.276,0.16,0.854,0.27,0.985,0.219,0.935,0.102,0.738,-0.016,0.42,0.159,0.844,0.024,0.537,-0.062,0.297,0.03,0.552,-0.061,0.295,-0.099,0.203,-0.043,0.345,-0.078,0.252,0.328,0.991,-0.055,0.3,-0.094,0.224,-0.057,0.318,-0.075,0.271
364,-0.028,0.419,0.19,0.852,0.464,0.999,0.334,0.974,0.198,0.852,0.009,0.503,0.248,0.933,0.11,0.716,-0.031,0.412,0.096,0.705,-0.043,0.379,-0.092,0.28,0.014,0.525,-0.051,0.364,0.525,0.998,-0.011,0.462,-0.061,0.336,0,0.486,-0.054,0.367
365,-0.059,0.298,0.151,0.825,0.365,0.995,0.269,0.962,0.103,0.744,-0.001,0.478,0.187,0.875,0.017,0.522,-0.031,0.382,0.029,0.559,-0.043,0.342,-0.113,0.178,-0.035,0.361,-0.069,0.273,0.383,0.991,-0.053,0.324,-0.078,0.251,-0.054,0.321,-0.067,0.282
366,-0.039,0.354,0.193,0.902,0.501,1,0.336,0.997,0.19,0.9,0,0.466,0.246,0.962,0.109,0.755,-0.037,0.374,0.105,0.749,-0.05,0.349,-0.12,0.157,-0.01,0.44,-0.076,0.263,0.495,0.999,-0.038,0.368,-0.089,0.225,-0.032,0.375,-0.084,0.257
367,0.059,0.599,0.186,0.878,0.621,1,0.363,0.985,0.25,0.933,0.086,0.664,0.266,0.942,0.209,0.892,0.066,0.611,0.208,0.893,0.06,0.6,-0.02,0.415,0.111,0.739,0.01,0.496,0.659,1,0.085,0.671,-0.002,0.478,0.091,0.678,0.003,0.497
368,-0.026,0.402,0.153,0.842,0.491,0.999,0.312,0.993,0.127,0.776,0.034,0.553,0.226,0.943,0.07,0.667,-0.016,0.423,0.067,0.678,-0.019,0.416,-0.085,0.244,-0.007,0.441,-0.03,0.378,0.461,0.999,-0.017,0.429,-0.057,0.314,-0.013,0.435,-0.046,0.338
369,-0.082,0.248,0.113,0.77,0.393,0.998,0.247,0.961,0.091,0.72,-0.021,0.413,0.17,0.879,0.02,0.515,-0.066,0.301,0.029,0.544,-0.066,0.284,-0.146,0.097,-0.077,0.258,-0.114,0.174,0.369,0.995,-0.098,0.202,-0.123,0.177,-0.089,0.24,-0.102,0.201
370,-0.04,0.357,0.142,0.822,0.438,0.999,0.328,0.988,0.126,0.801,0.015,0.522,0.23,0.948,0.072,0.676,-0.017,0.422,0.078,0.671,-0.017,0.437,-0.089,0.22,0.012,0.515,-0.065,0.303,0.471,1,-0.027,0.402,-0.072,0.274,-0.016,0.415,-0.054,0.308
371,-0.055,0.318,0.185,0.897,0.352,0.996,0.261,0.97,0.167,0.854,-0.026,0.391,0.21,0.914,0.063,0.639,-0.058,0.308,0.071,0.646,-0.076,0.258,-0.151,0.113,-0.074,0.288,-0.128,0.161,0.368,0.999,-0.089,0.231,-0.135,0.138,-0.082,0.27,-0.119,0.176
372,-0.012,0.459,0.187,0.882,0.319,0.981,0.26,0.952,0.17,0.853,0.039,0.586,0.222,0.926,0.091,0.7,0.007,0.492,0.085,0.678,-0.012,0.449,-0.077,0.272,-0.002,0.466,-0.045,0.354,0.375,0.99,-0.013,0.449,-0.052,0.341,-0.005,0.454,-0.05,0.358
373,-0.005,0.457,0.148,0.815,0.621,1,0.362,0.995,0.168,0.849,0.019,0.525,0.244,0.945,0.118,0.772,-0.003,0.462,0.133,0.788,-0.013,0.418,-0.08,0.278,0.04,0.561,-0.051,0.334,0.621,1,0.016,0.513,-0.061,0.31,-0.017,0.409,-0.031,0.39
374,-0.081,0.249,0.179,0.879,0.383,0.998,0.255,0.952,0.118,0.772,-0.026,0.405,0.194,0.899,0.024,0.545,-0.067,0.287,0.041,0.577,-0.073,0.287,-0.145,0.127,-0.051,0.325,-0.1,0.216,0.421,1,-0.072,0.284,-0.111,0.166,-0.068,0.28,-0.107,0.193
375,0.01,0.509,0.234,0.906,0.428,0.994,0.351,0.975,0.235,0.918,0.048,0.583,0.295,0.959,0.141,0.789,-0.004,0.482,0.137,0.785,0.004,0.491,-0.092,0.262,0.006,0.495,-0.06,0.329,0.5,0.999,-0.013,0.45,-0.058,0.344,0.003,0.498,-0.064,0.329
376,0.021,0.512,0.224,0.914,0.984,1,0.484,0.991,0.248,0.932,0.057,0.61,0.326,0.966,0.202,0.87,0.024,0.52,0.185,0.877,0.009,0.474,-0.087,0.225,0.071,0.655,-0.001,0.47,0.812,1,0.03,0.532,-0.03,0.372,0.038,0.553,-0.027,0.379
377,-0.009,0.428,0.15,0.865,0.526,1,0.327,0.995,0.154,0.852,0.028,0.551,0.218,0.949,0.102,0.754,0.004,0.479,0.096,0.755,0,0.478,-0.051,0.304,0.017,0.518,0.005,0.481,0.484,1,-0.001,0.469,-0.005,0.453,0.007,0.492,-0.003,0.46
378,-0.024,0.426,0.193,0.876,0.445,0.998,0.313,0.988,0.2,0.87,0.007,0.484,0.251,0.939,0.103,0.72,-0.037,0.37,0.106,0.728,-0.042,0.379,-0.089,0.267,0.001,0.475,-0.063,0.338,0.47,0.999,-0.032,0.389,-0.07,0.315,-0.019,0.422,-0.059,0.329
379,0.03,0.556,0.216,0.927,0.518,1,0.388,1,0.253,0.95,0.058,0.642,0.299,0.99,0.169,0.877,0.022,0.532,0.177,0.893,0.022,0.543,-0.06,0.331,0.038,0.572,-0.015,0.423,0.553,1,0.022,0.523,-0.022,0.41,0.03,0.564,-0.026,0.398
380,0.007,0.492,0.185,0.849,0.438,0.998,0.295,0.955,0.194,0.887,0.037,0.555,0.239,0.922,0.135,0.783,0.021,0.535,0.12,0.744,0.004,0.49,-0.055,0.357,0.033,0.562,-0.033,0.399,0.509,1,0.017,0.526,-0.039,0.396,0.023,0.543,-0.019,0.429
