"","ModMeanVal","ModMinVal","ModMaxVal","Age","AncVal","MCCAbsRateMean","MCCAbsRateMin","MCCAbsRateMax","MeanAbsRate_Mean","MeanLower95Rate","MeanUpper95Rate","MinAbsRate_Mean","MinLower95Rate","MinUpper95Rate","MaxAbsRate_Mean","MaxLower95Rate","MaxUpper95Rate"
"S_97.5_2",34.7242963053385,22.833332824707,44.5666656494141,86.68241125,28.0269879147297,0.077262599113598,0.0599159046815592,0.190807771682567,0.0881939294216863,0.0345817947605375,0.149568445773469,0.0714675004251732,0.0318738691466541,0.133973124961453,0.220348633715888,0.113649433510465,0.350903705933808
"S_97.5_3",34.2294114954331,25.566667175293,39,28.081076908,30.5541239482945,0.130881289174902,0.177609170379809,0.300767526807328,0.122264283200964,0.05550589954349,0.201046948913888,0.22520257135362,0.082982964223791,0.476012906209218,0.313358524860008,0.156902319310715,0.508702850414176
"S_97.5_4",29.4777776082357,22.133332824707,36.3,49.847687378,28.8872040416374,0.0118475619966065,0.135490161573898,0.148708924090111,0.0134178855305275,6.90557294098337e-05,0.0353527294713141,0.151224500804177,0.0627018500185736,0.239193176516623,0.147596234574405,0.0789792788530108,0.227796694468252
"S_97.5_6",24.3833335876465,24.366667175293,24.4,19.526636808,28.737972414238,0.223010181907382,0.223863703817856,0.222156659996907,0.223660709885057,0.111041549430179,0.358839508174361,0.224724033261304,0.111666889983857,0.360334796032843,0.222597386508811,0.110416208876502,0.357372775630931
"S_97.5_7",10.5,10.5,10.5,14.425143196,11.2343605141315,0.0509083690992507,0.0509083690992507,0.0509083690992507,0.0553970595174772,0.0259767773090611,0.0910474466193252,0.0553970595174772,0.0259767773090611,0.0910474466193252,0.0553970595174772,0.0259767773090611,0.0910474466193252
"S_97.5_8",30.8666671752929,25.8333343505859,35.9,15.723396539,28.4947130023147,0.15085507556175,0.169262324786351,0.470972475909857,0.118627773691636,0.0314013953927557,0.23858837310255,0.176297096543632,0.0889475745909122,0.285719624390241,0.413353018852537,0.166918066029227,0.703893395297608
"S_97.5_9",36.3,36.3,36.3,25.335888649,30.4050608331056,0.232671498069876,0.232671498069876,0.232671498069876,0.240411481892002,0.118467897296805,0.392321119418012,0.240411481892002,0.118467897296805,0.392321119418012,0.240411481892002,0.118467897296805,0.392321119418012
"S_97.5_10",10.5,10.5,10.5,34.246940968,14.2372111567186,0.109125400724421,0.109125400724421,0.109125400724421,0.109654677427449,0.0525546101560119,0.175666113457337,0.109654677427449,0.0525546101560119,0.175666113457337,0.109654677427449,0.0525546101560119,0.175666113457337
"S_97.5_12",21.6,21.6,21.6,63.779667928,22.2864470481539,0.0107627880554167,0.0107627880554167,0.0107627880554167,0.0228531300563845,1.02629170481294e-05,0.0580099990959718,0.0228531300563845,1.02629170481294e-05,0.0580099990959718,0.0228531300563845,1.02629170481294e-05,0.0580099990959718
"S_97.5_21",10.5,10.5,10.5,18.265043528,11.6253266411057,0.0616109476761229,0.0616109476761229,0.0616109476761229,0.058539341787483,0.027668215867827,0.0972087199077735,0.058539341787483,0.027668215867827,0.0972087199077735,0.058539341787483,0.027668215867827,0.0972087199077735
"S_97.5_22",10.5,10.5,10.5,14.425143196,11.2343605141315,0.0509083690992507,0.0509083690992507,0.0509083690992507,0.0546488380064333,0.027313982920406,0.0903467558986124,0.0546488380064333,0.027313982920406,0.0903467558986124,0.0546488380064333,0.027313982920406,0.0903467558986124
